Name,Type,Evar / Prop Number,Persistence,Fox Corp Spec Equivalent Dimension Name,Fox Corp Spec Equivalent Dimension Value,Description,Context Data Variable,Value Formula,Example Values,Priority,Category,Legacy Native Adobe Implementation Context Data,Adobe Processing Rules Accepted Context Data,Products,Dev & QA Notes
Pages: Content Level 2 (v2),Evar,2,Visit,Page: Content Category (v111),111,"Previously used to represent a secondary categorization of content under the primary section (e.g., Subsections like Local News, International News). This visit-level dimension is now considered legacy, as Content Level 1 encompasses this categorization in current implementations.","page_content_category
contentlevel2",,"Politics
Market
Economy
Technology
Sports
Weather",P0 - Blocker/Critical,Page Attributes,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio","Dev Notes:
- Assign a secondary content categorization to this dimension (e.g., Local News, International News).
- Use metadata or predefined mappings to determine secondary categories dynamically.
QA Notes:
- Test secondary categorization for all applicable content levels.
- Verify data consistency with primary categories (Content Level 1).
- Ensure legacy support for older content structures using this dimension.
"
Pages: Content Level 2 (c2),Prop,2,Hit,Page: Content Category (v111),111,"The hit-level counterpart to Pages: Content Level 2 (v2), used to capture interactions with secondary content categories. This dimension is also legacy, as modern implementations streamline categorization within Content Level 1 or equivalent dimensions.","page_content_category
contentlevel2",,"Politics
Market
Economy
Technology
Sports
Weather",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Pages: Content Level 3 (v3),Evar,3,Visit,Page: Content Category (v111),111,"Used for detailed content categorization at a granular level (e.g., Specific articles or individual posts). This dimension is considered legacy, as newer implementations handle content granularity differently, often within dynamically generated metadata or other dimensions.","page_content_category
contentlevel3",,"Politics
Market
Economy
Technology
Sports
Weather",P0 - Blocker/Critical,Page Attributes,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Pages: Content Level 3 (c3),Prop,3,Hit,Page: Content Category (v111),111,"The hit-level counterpart to Pages: Content Level 3 (v3), capturing fine-grained user interactions with specific content. It is also legacy and has been deprecated in favor of a more simplified and unified approach to content categorization.","page_content_category
contentlevel3",,"Politics
Market
Economy
Technology
Sports
Weather",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Pages: Content Level 4 (v4),Evar,4,Visit,Page: Content Category (v111),111,"Previously used for the most granular layer of content categorization, often for tracking highly specific subsets within Level 3 categories (e.g., individual sections within an article or micro-content). This visit-level dimension is legacy and has been replaced with more streamlined metadata structures or event-level tracking in modern implementations.","page_content_category
contentlevel4",,"Politics
Market
Economy
Technology
Sports
Weather",P0 - Blocker/Critical,Page Attributes,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Pages: Content Level 4 (c4),Prop,4,Hit,Page: Content Category (v111),111,"The hit-level counterpart to Pages: Content Level 4 (v4), capturing user interactions at the most detailed content level. This dimension is also legacy, with its functionality now incorporated into metadata or consolidated dimensions for improved simplicity and maintainability.","page_content_category
contentlevel4",,"Politics
Market
Economy
Technology
Sports
Weather",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Links: Page Name (v5),Evar,5,Visit,Page: Page Name (v2),2,"Tracks the name of the page where a link interaction occurred, providing a visit-level view of link activity. This dimension is critical for analyzing which pages drive the most outbound link clicks or navigation engagement across sessions.","page_name
pagename",,"fnc:fox-news.video:on-demand:video:video	
fnc:politics:subsection:article	
fnc:media:subsection:article	
fnc:us:subsection:article	
fnc:sports:subsection:article	
fnc:entertainment:subsection:article	",P0 - Blocker/Critical,Page Attributes,,,,
Links: PageName (c5),Prop,5,Hit,Page: Page Name (v2),2,"The hit-level equivalent of Links: Page Name (v5), offering detailed, granular insights into link interactions at the moment they occur. This dimension supports precise link performance analysis for individual user interactions.","page_name
pagename",,"fnc:fox-news.video:on-demand:video:video	
fnc:politics:subsection:article	
fnc:media:subsection:article	
fnc:us:subsection:article	
fnc:sports:subsection:article	
fnc:entertainment:subsection:article	",,,,,,
Links: Global Link Name/ID (v6),Evar,6,Visit,Page: Destination URL (v74),74,"Captures the unique name or ID of a link clicked by the user across all pages, allowing for visit-level reporting of global link performance. Useful for evaluating the effectiveness of calls-to-action (CTAs) or consistent navigation elements used across the site.",globallinkname,,"Fox News
close	
Email_Registration_Start	
MyFoxUserRegister (80)	
Third Party Interaction (281)	
Third Party Page View (280)	
fnc:games:daily-crossword-puzzle:page:other	
Go Back	
Close Modal	
fnc:Account:page:other	",P0 - Blocker/Critical,Page Attributes,"s.prop6
s.eVar6",,,
Links: Global Link Name/ID (c6),Prop,6,Hit,Page: Destination URL (v74),74,"Tracks the same global link name or ID as Links: Global Link Name/ID (v6) but at the hit level, providing granular data on each link interaction. It complements visit-level data by offering a more detailed analysis of individual link clicks.",globallinknameid,,"Fox News
close	
Email_Registration_Start	
MyFoxUserRegister (80)	
Third Party Interaction (281)	
Third Party Page View (280)	
fnc:games:daily-crossword-puzzle:page:other	
Go Back	
Close Modal	
fnc:Account:page:other	",,,,,,
Links: PageName | Link Name/ID (v7),Evar,7,Visit,v2+v74,v2+v74,Combines the page name and the link name or ID into a single dimension to provide visit-level insights into which specific links were clicked on which pages. This helps in identifying high-performing link placements and optimizing navigation flows.,pagenamelinknameid,,"fnc:media:subsection:article | Story/Content Impressions (3)	
fnc:fox-news.video:on-demand:video:video | Watch	
fnc:live-news:Politics:subsection:other | Story/Content Impressions (3)	
fnc:fox-news.video:on-demand:video:video | close	
fnc:fox-news.video:on-demand:video:video | undefined	
video:5614615980001 | undefined	
fnc:us:subsection:article | Story/Content Impressions (3)	",P0 - Blocker/Critical,Page Attributes,"s.prop7
s.eVar7",,,
Links: PageName | Link Name/ID (c7),Prop,7,Hit,v2+v74,v2+v74,"A concatenation of the page name and the link name or ID, providing hit-level data to identify the page and specific link clicked. This dimension is valuable for attributing click-through traffic, particularly for tracking user journeys and link performance from one page to another.",pagenamelinknameid,,"fnc:media:subsection:article | Story/Content Impressions (3)	
fnc:fox-news.video:on-demand:video:video | Watch	
fnc:live-news:Politics:subsection:other | Story/Content Impressions (3)	
fnc:fox-news.video:on-demand:video:video | close	
fnc:fox-news.video:on-demand:video:video | undefined	
video:5614615980001 | undefined	
fnc:us:subsection:article | Story/Content Impressions (3)	",,,,,,
In-App Webview (v8),Evar,8,Hit,v2+v74,v2+v74,"Tracks interactions within in-app webviews by concatenating the page name and the link name or ID. This dimension enables analysis of in-app browsing behavior, helping attribute user actions and click-through traffic to specific app content.",n/a - Create a Context Data Variable,,"True
False",P0 - Blocker/Critical,Page Attributes,"s.prop7
s.eVar7",,,
Internal Search Term (v9),Evar,9,Visit,Page: Internal Search Term (v1),1,"Captures the term entered by users in the internal search function. This visit-level dimension is crucial for understanding what users are looking for within the app or website, enabling improvements to search functionality, content discoverability, and user experience.",,,,P0 - Blocker/Critical,Page Attributes,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Pages (conversion) (v10),Evar,10,Visit,,,"Tracks the page where a conversion event occurred at the visit level. This dimension provides insights into which pages are driving successful conversions, such as purchases, sign-ups, or other critical user actions, supporting optimization of high-value pages.",pagesconversion,,"fnc:politics:subsection:article	
fnc:fox-news.video:on-demand:video:video	
fnc:media:subsection:article	
Unspecified	
fnc:election::other	
fnc:live-news:Politics:subsection:other	",P0 - Blocker/Critical,Page Attributes,,,,
Pages (conversion) (c10),Prop,10,Visit,,,"Tracks the page where a conversion event occurred at the visit level. This dimension provides insights into which pages are driving successful conversions, such as purchases, sign-ups, or other critical user actions, supporting optimization of high-value pages.",pagesconversion,,"fnc:politics:subsection:article	
fnc:fox-news.video:on-demand:video:video	
fnc:media:subsection:article	
Unspecified	
fnc:election::other	
fnc:live-news:Politics:subsection:other	",P0 - Blocker/Critical,Page Attributes,,,,
Detail Content: ID (v11),Evar,11,Visit,Page: Content ID (v11),11,"Identifies the unique ID of the content being served on the page, allowing visit-level tracking of specific content performance. This dimension is particularly useful for content-rich platforms that need to measure audience engagement with individual articles, videos, or other media.","page_content_id
contentid",,"1bdc981f680628a207d965ca11eb8cf6faff8c9f6c2917b1c48a9a96bebfe296	
1af3a8f0919c21c1a65a5f3465a2143113cea626468d4addea8410f8a2719aef	
b911e9e38d78d41e2e6739912c238b27773a31059548c550b644ebbe6ff2c152	
b450720c1179b5022555d13fb732446eb4cfde393a84f78074ae7567089a4c6a	
e2e067ac7b2c391b882e1b13ed3a4d7e84466cc9cb2c4ff86ccba1adc331de86	",P0 - Blocker/Critical,Page Attributes,"s.prop11
s.eVar11",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: ID (c11),Prop,11,Hit,Page: Content ID (v11),11,"Captures the same content ID as Detail Content: ID (v11) but at the hit level, providing granular data on user interactions with individual pieces of content. This complements the visit-level analysis by enabling detailed reporting on engagement patterns.","page_content_id
contentid",,"1bdc981f680628a207d965ca11eb8cf6faff8c9f6c2917b1c48a9a96bebfe296	
1af3a8f0919c21c1a65a5f3465a2143113cea626468d4addea8410f8a2719aef	
b911e9e38d78d41e2e6739912c238b27773a31059548c550b644ebbe6ff2c152	
b450720c1179b5022555d13fb732446eb4cfde393a84f78074ae7567089a4c6a	
e2e067ac7b2c391b882e1b13ed3a4d7e84466cc9cb2c4ff86ccba1adc331de86	",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Name (v12),Evar,12,Visit,Page: Content Title (v12),12,Records the title of the content being served on the page at the visit level. This dimension is useful for understanding which content titles resonate most with users and contribute to engagement or conversions.,"page_content_title
contentname",,"Death toll rises from Post-Tropical Cyclone Ian; storm crawls across Carolinas, Virginia",P0 - Blocker/Critical,Page Attributes,"s.prop12
s.eVar12",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Name (c12),Prop,12,Hit,Page: Content Title (v12),12,"The hit-level counterpart to Detail Content: Name (v12), capturing content titles for every user interaction. This dimension supports detailed reporting on which specific content pieces drive user engagement at a granular level.","page_content_title
contentname",,"Death toll rises from Post-Tropical Cyclone Ian; storm crawls across Carolinas, Virginia",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Type (v13),Evar,13,Visit,Page: Page Type (v15),15,"Measures the type of content being presented to the user, such as ""Article,"" ""Video,"" ""Gallery,"" or ""Podcast."" This visit-level dimension helps categorize content types for analysis of user engagement trends and content performance across different formats.","page_content_type
contenttype",,"article
homepage
video
category
section-front",P0 - Blocker/Critical,Page Attributes,"s.prop13
s.eVar13",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Type (c13),Prop,13,Hit,,,"Tracks the content type at the hit level, allowing for granular analysis of interactions with specific content formats. This dimension supports deeper insights into how users engage with different types of media on a per-interaction basis.","page_content_type
contenttype",,"article
homepage
video
category
section-front",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Author (v14),Evar,14,Hit,Page: Content Author (v14),14,"Identifies the author of the content being presented to the user. This hit-level dimension helps measure the performance and engagement of content created by specific authors, providing insights into which authors resonate most with the audience.","page_content_author
contentauthor",,"Ryan Gaydos
Adam Sabes
Caroline Thayer",P0 - Blocker/Critical,Page Attributes,"s.prop14
s.eVar14",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Author (c14),Prop,14,Hit,Page: Content Author (v14),14,"Captures the author’s name at the hit level, complementing Detail Content: Author (v14) by enabling detailed reporting on individual user interactions with content authored by specific individuals. Useful for author attribution and tracking audience preferences.","page_content_author
contentauthor",,"Ryan Gaydos
Adam Sabes
Caroline Thayer",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Source (v15),Evar,15,Hit,Page: Content Originator (v114),114,"Tracks the originator or source of the content being viewed, such as a specific publication, syndication partner, or internal team. This hit-level dimension is essential for analyzing the performance of content from different sources and understanding which sources drive the most engagement.","page_content_originator
contentsource",,"Associated Press
Fox News
Reuters",P0 - Blocker/Critical,Page Attributes,"s.prop15
s.eVar15",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Source (c15),Prop,15,Hit,,,"Captures the same source information as Detail Content: Source (v15) but at a hit level. This enables granular tracking of individual user interactions with content from various sources, helping refine content sourcing strategies.
","page_content_originator
contentsource",,"Associated Press
Fox News
Reuters",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Detail Content: Source (v16),Evar,16,Visit,,,"Captures the source of the content at the visit level, identifying where the content originates, such as third-party publishers, syndication partners, or internal teams. This dimension supports attribution analysis and helps assess the performance of content sourced from different locations.",,,"media	
us	
sports	
entertainment	
world	
opinion	
health	",P0 - Blocker/Critical,Page Attributes,"s.prop15
s.eVar15",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Content Container: Name (c16),Prop,16,Hit,,,"Tracks the name of the container or module housing the content (e.g., “Hero Banner,” “Trending Section,” or “Related Articles”). This hit-level dimension provides insights into the performance of specific content placements, helping optimize layout and user interface design.",,,"media	
us	
sports	
entertainment	
world	
opinion	
health	",,,,,,
Internal Campaign Code (v17),Evar,17,Hit,User: Campaign Internal Tracking Code (v22),22,Identifies internal campaign codes used for tracking and attributing user engagement with promotional efforts. This visit-level dimension is key for analyzing the effectiveness of internal marketing strategies and driving ROI through targeted campaigns.,"campaign_int_tracking_code
internalcampaigncode",,"fnfirstnl
fb_fnc
newslink",P0 - Blocker/Critical,Page Attributes,s.eVar17,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Distribution Platform (v18),Evar,18,Visit,Page: Content Distributor (v64),64,"Captures the platform through which content is distributed (e.g., “Web,” “Mobile App,” “OTT”). This dimension allows for visit-level analysis of platform-specific engagement trends and informs strategies for optimizing content delivery across platforms.",page_content_distributor,,"owned
amp
fbia",P0 - Blocker/Critical,Page Attributes,"s.prop18
s.eVar18",,,
Distribution Platform (c18),Prop,18,Hit,,,"Tracks the same platform information as Distribution Platform (v18) but at the hit level. This provides more granular insights into user interactions on different platforms, supporting detailed platform-specific optimization.",page_content_distributor,,"owned
amp
fbia",P0 - Blocker/Critical,,,,,
Language (v19),Evar,19,Visit,Page: Content Langauge (v113),113,"Captures the primary language setting of the content or user interface, such as “English,” “Spanish,” or “French.” This visit-level dimension helps analyze audience preferences and enables localization strategies to improve user experience across diverse language groups.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop18
s.eVar18",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Tool Name/ID (v20),Evar,20,Visit,,,"Captures the name or unique identifier of a tool or feature accessed by the user during their visit (e.g., “Calculator,” “Scheduler,” or “Planner”). This visit-level dimension helps measure the popularity and engagement of tools offered on the platform, providing insights into feature adoption.",,,FN Lead Gen subscription	,P0 - Blocker/Critical,Page Attributes,"s.prop18
s.eVar18",,,
Tool Name/ID (c20),Prop,20,Hit,,,"Tracks the same tool name or ID as Tool Name/ID (v20) but at the hit level, allowing for detailed analysis of individual interactions with specific tools. This dimension supports optimization of tool design and placement for better user engagement.",,,FN Lead Gen subscription	,,,,,,
Member Name/ID (v21),Evar,21,Visit,,,"Identifies the unique name or ID of a logged-in member interacting with the platform. This visit-level dimension enables tracking of user-specific engagement, providing insights for personalized experiences, retention analysis, and member behavior trends.",,,"fnc:root:root:channel	
fnc:root:root:channel|1730589513699	",P0 - Blocker/Critical,Page Attributes,"s.prop18
s.eVar18",,,
