Event Name,Description,Event #,Event Type,MVP Evars And Props,Minimum Viable Evars,Minimum Viable Props,Full Integration,Priority,Conditions to fire,Implementation Packages,Dev & QA Notes
Slideshow Thumbnail Click (event37),"The Slideshow Thumbnail Click event tracks user interactions with thumbnails within a slideshow. This event fires when a user clicks or taps on a thumbnail to navigate directly to a specific slide. It captures critical engagement data, such as how users explore slideshow content and their preferences for specific slides. Metadata should include the thumbnail ID, associated slide ID, and the slideshow context (e.g., article gallery or homepage feature). Ensure the event handles dynamically generated thumbnails and prevents duplicate triggers for the same interaction.",37,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when a user clicks a slideshow thumbnail. ,"Navigation Interaction,Content Interaction,Fox X.ID","Dev Instructions:
- Trigger this event when a user clicks on a thumbnail within a slideshow to navigate directly to a specific slide.
- Ensure the event payload includes all required and minimum viable dimensions as outlined in the spec.
- Configure logic to prevent duplicate event triggers for the same thumbnail click within a session.
QA Instructions:
- Validate the event triggers when thumbnails in a slideshow are clicked across platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases such as rapid or repeated thumbnail clicks to ensure proper event firing and deduplication.
- Use debugging tools to confirm event accuracy and metadata completeness.
"
Slide View (event38),"The Slide View event captures user engagement with individual slides in a slideshow. It fires when a new slide is displayed, whether navigated by arrow clicks, swipes, or thumbnail clicks. This event is essential for understanding user interaction patterns and slide-specific engagement. Metadata should include the slide ID, slide index, and the context of the slideshow. The event should avoid duplicate triggers for the same slide and support platform-specific behaviors, such as swipe gestures on mobile and OTT remote interactions.",38,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,This should fire when a user clicks a slideshow Image. ,Fox X.ID,"Dev Instructions:
- Fire this event each time a user views a new slide in a slideshow, either by clicking an arrow, swiping, or clicking a thumbnail.
- Ensure the event includes all required and minimum viable dimensions specified in the spec.
- Implement tracking to avoid duplicate events for the same slide view within a session.
QA Instructions:
- Test the event triggers on all slideshow navigation actions, ensuring it captures views from arrows, swipes, and thumbnail clicks.
- Confirm the event payload includes all required and minimum viable dimensions.
- Validate no redundant events fire when a user views the same slide multiple times within a session.
- Use debugging tools to verify event integrity under rapid navigation scenarios.
"
Tweet (event40),"The Tweet event tracks when a user shares content on Twitter using an integrated sharing mechanism. This event provides insight into content virality and user advocacy. It should include metadata such as the shared content ID, title, and share method (e.g., native app sharing or web interface). Ensure the event fires only after the share action is successfully completed, not on initiation. The logic should support various platforms, including web, app, and OTT, and handle differences in sharing APIs.",40,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P3,"Fire this event when a user shares a piece of content via Twitter using an in-app, web, or OTT share functionality. Ensure the event is triggered after the sharing action is completed, not on the initiation of the share.","Social Sharing,Fox X.ID","Dev Instructions:
- Trigger this event when a user shares content via Twitter, using an in-app, web, or OTT share functionality.
- Ensure the event includes all required and minimum viable dimensions in the payload.
- Configure logic to fire only after the sharing action is successfully completed.
QA Instructions:
- Validate the event triggers upon successful Twitter shares across all platforms.
- Verify that all required and minimum viable dimensions are present in the event payload.
- Test scenarios where a user cancels or fails to complete the share to ensure no event is incorrectly fired.
- Use debugging tools to inspect event payload accuracy and metadata completeness.
"
Detail Content Views (event42),"The Detail Content Views event tracks when a user navigates to a detailed view of content, such as an article, video, or product detail page. This event is identical in purpose to Event #31 but may serve a specific context or platform. It fires only after the primary content is fully loaded and visible. Metadata should include the content ID, type, source, and any contextual information related to the view. Logic should ensure the event does not redundantly trigger within the same session for repeated views of the same content.",42,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,This event is identical in nature to Event #31 and should fire under the same conditions. Validate with stakeholders if this redundancy is intentional or if the event can be consolidated.,"Content Interaction,Fox X.ID","Dev Instructions:
- Fire this event when a user accesses a detailed content view, similar to Event #31, but ensure differentiation if this event is intended for a specific context (e.g., platform or feature).
- Include all required and minimum viable dimensions in the event payload.
- Prevent duplicate triggers within the same detailed view session.
QA Instructions:
- Test the event triggers across all platforms when a detailed content view is accessed.
- Verify that all required and minimum viable dimensions are included in the event payload.
- Confirm the event does not redundantly fire for repeated access to the same content in a session.
- Validate behavior in edge cases like network interruptions or partial content loading.
"
Email Share (event51),"The Email Share event captures when users share content through an email interface, providing insights into how content is distributed via direct communication. This event should fire only after the email is successfully sent or queued by the email client. Metadata should include the shared content ID, email subject (if applicable), and sharing context (e.g., app, web, or OTT). Logic should handle platform-specific behaviors and ensure no duplicate triggers for the same share action.",51,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P1,"Trigger this event when a user completes an email share action using in-app, OTT, or web sharing functionality. Ensure the event fires only after the email is successfully sent or queued by the email client.","Email Marketing,Fox X.ID","Dev Instructions:
- Trigger this event when a user completes an email share action via in-app, web, or OTT sharing functionality.
- Ensure the event payload includes all required and minimum viable dimensions from the spec.
- Configure logic to fire only after the email is successfully sent or queued by the email client.
QA Instructions:
- Validate the event fires upon successful email share actions across all supported platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases, such as user cancellations or errors in email sending, to confirm no incorrect event firing.
- Use debugging tools to validate the accuracy and completeness of the event payload.
"
Email Sign-Up Success (event52),"The Email Sign-Up Success event tracks when a user successfully completes an email subscription process. This event provides essential insights into audience growth and subscription behavior. Metadata should include user segmentation details (if available), sign-up source (e.g., homepage form, content gate), and any associated campaign identifiers. The event should fire only upon full completion of the sign-up process, avoiding triggers for partial or failed attempts. Ensure compatibility across web, app, and OTT platforms.",52,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P1,This should fire when a user has successfully signed up for via email for a newsletter or mailing list. ,"Email Marketing,Fox X.ID","Dev Instructions:
- Trigger this event when a user successfully completes an email sign-up process, ensuring any required validations (e.g., email format, duplicate checks) are passed.
- Include all required and minimum viable dimensions as outlined in the spec.
- Ensure the event fires only once per successful sign-up attempt and not during partial or incomplete submissions.
QA Instructions:
- Validate the event triggers only upon successful email sign-ups across all supported platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases such as duplicate email entries, invalid formats, and failed sign-up attempts to ensure no false positives.
- Use debugging tools to inspect event payloads and confirm accuracy under various scenarios.
"
Show More Button (event53),"The Show More Button event tracks user engagement with ""Show More"" functionality, typically used to load additional content on a page or within a feed. This event provides insights into how users interact with expandable content areas and whether the additional content is valuable to them. Metadata should include the context of the button (e.g., homepage, content feed) and the number of items loaded. The event should fire only when the additional content is successfully displayed, avoiding redundant triggers for rapid or repeated clicks.",53,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,"This should fire when a ""Show more"" expand element is clicked. ","Content Interaction,Fox X.ID","Dev Instructions:
- Trigger this event when a user interacts with a ""Show More"" button or equivalent action that loads additional content on a page or app.
- Include all required and minimum viable dimensions in the event payload.
- Ensure the event fires only once per interaction, even if the user repeatedly presses the button within the same session.
QA Instructions:
- Validate the event triggers when a ""Show More"" button is clicked or activated across platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test rapid or repeated button presses to ensure no duplicate or missed events.
- Inspect payloads using debugging tools to confirm metadata accuracy and completeness.
"
Homepage Click (event57),"The Homepage Click event tracks user interactions with clickable elements on the homepage, such as banners, links, or promotional modules. This event helps assess the effectiveness of homepage design and content placement in driving user engagement. Metadata should include the clicked element's ID, type, and position on the homepage. The event should handle dynamic content and ensure compatibility with all platforms, capturing user intent only after a successful interaction (e.g., navigation to a linked page).",57,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,This should fire on any clickable element on the homepage when clicked. ,"Content Interaction,Fox X.ID","Dev Instructions:
- Fire this event when a user interacts with an element on the homepage that navigates them to another page or section (e.g., links, banners, or buttons).
- Include all required and minimum viable dimensions as specified in the spec.
- Configure logic to prevent false triggers from non-navigation interactions, such as hover events.
QA Instructions:
- Test the event triggers for all clickable elements on the homepage across platforms.
- Verify the inclusion of all required and minimum viable dimensions in the event payload.
- Confirm that no false positives occur from non-navigation interactions.
- Use debugging tools to validate payload accuracy under various scenarios.
"
Homepage View (event75),"The Homepage View event measures when the homepage is fully loaded and visible to the user. This event serves as a key performance metric for overall platform engagement and homepage traffic analysis. Metadata should include session-level details and contextual data about the homepage's configuration (e.g., version, dynamic modules). The event should trigger once per session visit to the homepage, avoiding redundant logs from reloads or quick navigations.",75,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,This should fire if the user is on the homepage. ,"Content Interaction,Fox X.ID","Dev Instructions:
- Trigger this event when a user fully loads the homepage on any platform (app, OTT, web).
- Include all required and minimum viable dimensions in the event payload.
- Ensure the event fires once per session visit to the homepage, avoiding duplicate triggers on reloads.
QA Instructions:
- Validate the event triggers accurately when the homepage is loaded across all platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test scenarios such as page reloads, session changes, and slow-loading assets to confirm proper event firing.
- Inspect payloads using debugging tools to confirm accuracy and completeness.
"
Notification Impression (event76),"The Web Notification Pop-up Viewed event tracks when a notification pop-up is displayed to a user on the web. This event provides insights into notification reach and visibility. It should trigger when the pop-up is fully rendered and displayed on the user’s screen for a minimum visibility duration (e.g., 1 second). Metadata should include the notification ID, type, and context of the display (e.g., homepage, content page). Logic should account for user interruptions, such as quick dismissals or focus changes, to ensure accurate event logging.",76,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when a notification has been been seen by a user on web. ,"Notification Tracking,Fox X.ID","Dev Instructions:
- Fire this event when a notification pop-up is displayed to the user on the web.
- Include all required and minimum viable dimensions in the event payload.
- Configure logic to track visibility duration and ensure the event only fires if the pop-up is displayed long enough to be viewable (e.g., 1 second or more).
QA Instructions:
- Test the event triggers when notification pop-ups are displayed on the web.
- Verify the inclusion of all required and minimum viable dimensions in the event payload.
- Test edge cases such as pop-ups dismissed before full display or blocked by browser settings.
- Use debugging tools to validate payload accuracy and completeness under various scenarios.
"
